Algorithm,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall Rate,Voicing False-Alarm Rate,Contributors,Dataset,Year
SL1,0.2817,0.1614,0.1616,0.2187,0.0309,"Liming Song, Ming Li",INDIAN08,2014
DD1,0.7807,0.8052,0.8076,0.8703,0.3004,doreso doreso,INDIAN08,2014
KD3,0.8061,0.8783,0.8884,0.9502,0.5338,Karin Dressler,INDIAN08,2014
KD1,0.8220,0.8773,0.8848,0.9126,0.2858,Karin Dressler,INDIAN08,2014
IYI1,0.7090,0.8386,0.8462,0.8142,0.1407,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",INDIAN08,2014
LPSL1,0.4124,0.4655,0.5089,0.6754,0.2351,"Hye In Lee, Ju Hyun Park, Ji Hun Seo, Seok Pil Lee",INDIAN08,2014
CWJ3,0.7103,0.8531,0.8562,0.7369,0.1186,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",INDIAN08,2014
YJ2,0.7025,0.8194,0.8217,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2014
SL1,0.6852,0.6557,0.6761,0.8777,0.2467,"Liming Song, Ming Li",MIREX09 (0dB),2014
DD1,0.7507,0.7837,0.7982,0.8899,0.2995,doreso doreso,MIREX09 (0dB),2014
KD3,0.6822,0.8045,0.8188,0.9118,0.4776,Karin Dressler,MIREX09 (0dB),2014
KD1,0.6610,0.7649,0.7881,0.8531,0.4037,Karin Dressler,MIREX09 (0dB),2014
IYI1,0.6399,0.7586,0.7880,0.8981,0.4709,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (0dB),2014
LPSL1,0.4497,0.4221,0.4808,0.7035,0.3856,"Hye In Lee, Ju Hyun Park, Ji Hun Seo, Seok Pil Lee",MIREX09 (0dB),2014
CWJ3,0.7387,0.7845,0.7968,0.7907,0.1974,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX09 (0dB),2014
YJ2,0.5419,0.8387,0.8537,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2014
SL1,0.5240,0.4695,0.5122,0.8335,0.3578,"Liming Song, Ming Li",MIREX09 (-5dB),2014
DD1,0.5563,0.6008,0.6404,0.8642,0.5181,doreso doreso,MIREX09 (-5dB),2014
KD3,0.5169,0.6249,0.6628,0.8639,0.6007,Karin Dressler,MIREX09 (-5dB),2014
KD1,0.4959,0.5808,0.6257,0.7889,0.5230,Karin Dressler,MIREX09 (-5dB),2014
IYI1,0.5127,0.6182,0.6670,0.8936,0.5933,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (-5dB),2014
LPSL1,0.3405,0.2984,0.3641,0.6996,0.4767,"Hye In Lee, Ju Hyun Park, Ji Hun Seo, Seok Pil Lee",MIREX09 (-5dB),2014
CWJ3,0.5941,0.6293,0.6601,0.7375,0.3360,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX09 (-5dB),2014
YJ2,0.4396,0.6838,0.7187,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (-5dB),2014
SL1,0.7794,0.7630,0.7740,0.9092,0.1805,"Liming Song, Ming Li",MIREX09 (+5dB),2014
DD1,0.8638,0.8394,0.8427,0.8909,0.0848,doreso doreso,MIREX09 (+5dB),2014
KD3,0.7840,0.8919,0.8966,0.9413,0.3628,Karin Dressler,MIREX09 (+5dB),2014
KD1,0.7871,0.8793,0.8870,0.8946,0.2772,Karin Dressler,MIREX09 (+5dB),2014
IYI1,0.7269,0.8276,0.8431,0.8877,0.3213,"Yukara Ikemiya, Katsutoshi Itoyama, Kazuyoshi Yoshii",MIREX09 (+5dB),2014
LPSL1,0.5440,0.5102,0.5614,0.6896,0.2705,"Hye In Lee, Ju Hyun Park, Ji Hun Seo, Seok Pil Lee",MIREX09 (+5dB),2014
CWJ3,0.8165,0.8496,0.8572,0.8158,0.0864,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX09 (+5dB),2014
YJ2,0.5776,0.8938,0.9070,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (+5dB),2014
SL1,0.5758,0.5660,0.6087,0.7931,0.3132,"Liming Song, Ming Li",ADC2004,2013
CF1,0.6669,0.7479,0.7892,0.6363,0.1035,"Chris Cannam, Luis Figueira",ADC2004,2013
YJ3,0.4154,0.4832,0.5990,0.9996,0.9537,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",ADC2004,2013
YJ4,0.4624,0.5587,0.6671,0.9998,0.9776,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",ADC2004,2013
SL1,0.5391,0.5387,0.5956,0.8046,0.4416,"Liming Song, Ming Li",MIREX05,2013
CF1,0.4717,0.5468,0.5974,0.3704,0.0846,"Chris Cannam, Luis Figueira",MIREX05,2013
YJ3,0.3645,0.4874,0.6380,0.9998,0.9997,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX05,2013
YJ4,0.5187,0.6912,0.7472,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX05,2013
SL1,0.6326,0.6068,0.6071,0.8179,0.2292,"Liming Song, Ming Li",INDIAN08,2013
CF1,0.5767,0.7335,0.7443,0.6821,0.4464,"Chris Cannam, Luis Figueira",INDIAN08,2013
YJ3,0.5121,0.5959,0.6795,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2013
YJ4,0.7025,0.8194,0.8217,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",INDIAN08,2013
SL1,0.6388,0.6396,0.6538,0.8751,0.3375,"Liming Song, Ming Li",MIREX09 (0dB),2013
CF1,0.4621,0.4387,0.4824,0.2701,0.0894,"Chris Cannam, Luis Figueira",MIREX09 (0dB),2013
YJ3,0.5177,0.8019,0.8255,1.0,0.9978,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2013
YJ4,0.5419,0.8387,0.8537,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (0dB),2013
SL1,0.4973,0.4757,0.5058,0.8445,0.4388,"Liming Song, Ming Li",MIREX09 (-5dB),2013
CF1,0.3901,0.3206,0.3747,0.1764,0.0926,"Chris Cannam, Luis Figueira",MIREX09 (-5dB),2013
YJ3,0.4439,0.6901,0.7257,1.0,0.9978,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (-5dB),2013
YJ4,0.4396,0.6838,0.7187,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (-5dB),2013
SL1,0.7266,0.7359,0.7427,0.8977,0.2654,"Liming Song, Ming Li",MIREX09 (+5dB),2013
CF1,0.5448,0.5558,0.5885,0.3843,0.0837,"Chris Cannam, Luis Figueira",MIREX09 (+5dB),2013
YJ3,0.5484,0.8484,0.8681,1.0,0.9978,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (+5dB),2013
YJ4,0.5776,0.8938,0.9070,1.0,1.0,"Tzu-Chun Yeh, Jyh-Shing Roger Jang",MIREX09 (+5dB),2013
SM1,0.6034,0.6423,0.7121,0.7736,0.3296,Sam Myer,ADC2004,2012
AB1,0.6906,0.8141,0.8592,0.7651,0.2356,"Laxmidhar Behera, Vipul Arora",ADC2004,2012
YJL4,0.4624,0.5587,0.6671,0.9998,0.9776,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",ADC2004,2012
YJL3V2,0.4154,0.4832,0.5990,0.9996,0.9537,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",ADC2004,2012
YJL3V3,0.4154,0.4832,0.5990,0.9996,0.9537,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",ADC2004,2012
SM1,0.5962,0.6130,0.6914,0.8071,0.4665,Sam Myer,MIREX05,2012
AB1,0.6342,0.6920,0.7655,0.8101,0.3443,"Laxmidhar Behera, Vipul Arora",MIREX05,2012
YJL4,0.5187,0.6912,0.7472,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX05,2012
YJL3V2,0.3645,0.4874,0.6380,0.9998,0.9997,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX05,2012
YJL3V3,0.3645,0.4874,0.6380,0.9998,0.9997,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX05,2012
SM1,0.5006,0.4931,0.5948,0.6352,0.3023,Sam Myer,INDIAN08,2012
AB1,0.6795,0.8585,0.8679,0.7076,0.1558,"Laxmidhar Behera, Vipul Arora",INDIAN08,2012
YJL4,0.7025,0.8194,0.8217,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",INDIAN08,2012
YJL3V2,0.5121,0.5959,0.6795,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",INDIAN08,2012
YJL3V3,0.5121,0.5959,0.6795,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",INDIAN08,2012
SM1,0.6557,0.7032,0.7402,0.8180,0.3785,Sam Myer,MIREX09 (0dB),2012
AB1,0.6884,0.6950,0.7294,0.7924,0.2248,"Laxmidhar Behera, Vipul Arora",MIREX09 (0dB),2012
YJL4,0.5419,0.8387,0.8537,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (0dB),2012
YJL3V2,0.5177,0.8019,0.8255,1.0,0.9978,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (0dB),2012
YJL3V3,0.5177,0.8019,0.8255,1.0,0.9978,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (0dB),2012
SM1,0.4750,0.5465,0.6055,0.8456,0.6153,Sam Myer,MIREX09 (-5dB),2012
AB1,0.5017,0.5293,0.5829,0.8067,0.4794,"Laxmidhar Behera, Vipul Arora",MIREX09 (-5dB),2012
YJL4,0.4396,0.6838,0.7187,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (-5dB),2012
YJL3V2,0.4439,0.6901,0.7257,1.0,0.9978,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (-5dB),2012
YJL3V3,0.4439,0.6901,0.7257,1.0,0.9978,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (-5dB),2012
SM1,0.7706,0.7654,0.7916,0.8029,0.1606,Sam Myer,MIREX09 (+5dB),2012
AB1,0.8041,0.8044,0.8251,0.7923,0.0464,"Laxmidhar Behera, Vipul Arora",MIREX09 (+5dB),2012
YJL4,0.5776,0.8938,0.9070,1.0,1.0,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (+5dB),2012
YJL3V2,0.5484,0.8484,0.8681,1.0,0.9978,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (+5dB),2012
YJL3V3,0.5484,0.8484,0.8681,1.0,0.9978,"I-Bin Liao, Jyh-Shing Roger Jang, Tzu-Chun Yeh",MIREX09 (+5dB),2012
TY4,0.4699,0.5639,0.6555,0.9991,0.9369,Tzu-Chun Yeh,ADC2004,2011
TOS1,0.5942,0.7303,0.8143,0.7498,0.2937,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",ADC2004,2011
TY3,0.4699,0.5640,0.6533,0.9991,0.9369,Tzu-Chun Yeh,ADC2004,2011
LYRS1,0.7303,0.8451,0.8616,0.9860,0.8737,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su",ADC2004,2011
HCCPH1,0.4413,0.4169,0.5395,0.6898,0.2717,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo",ADC2004,2011
CWJ1,0.7273,0.7308,0.7664,0.8765,0.2928,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",ADC2004,2011
YSLP1,0.8533,0.8672,0.8696,0.9382,0.2973,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park",ADC2004,2011
SG1,0.7355,0.7634,0.7871,0.8055,0.1509,"Justin Salamon, Emilia Gómez",ADC2004,2011
PJY1,0.8069,0.8488,0.8759,0.9097,0.2987,"Sanghun Park, Seokhwan Jo, Chang D. Yoo",ADC2004,2011
SG2,0.7397,0.7728,0.7941,0.8064,0.1525,"Justin Salamon, Emilia Gómez",ADC2004,2011
TY4,0.5080,0.6765,0.7331,0.9985,0.9969,Tzu-Chun Yeh,MIREX05,2011
TOS1,0.5657,0.7113,0.7729,0.7721,0.4294,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX05,2011
TY3,0.5073,0.6755,0.7316,0.9985,0.9969,Tzu-Chun Yeh,MIREX05,2011
LYRS1,0.5872,0.7537,0.7938,0.9942,0.9387,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su",MIREX05,2011
HCCPH1,0.4545,0.4100,0.4856,0.5646,0.2866,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo",MIREX05,2011
CWJ1,0.5665,0.5992,0.6567,0.8790,0.5253,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX05,2011
YSLP1,0.6524,0.7011,0.7323,0.9178,0.5645,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park",MIREX05,2011
SG1,0.6573,0.6762,0.7624,0.7725,0.2630,"Justin Salamon, Emilia Gómez",MIREX05,2011
PJY1,0.6544,0.7328,0.7783,0.8555,0.3903,"Sanghun Park, Seokhwan Jo, Chang D. Yoo",MIREX05,2011
SG2,0.6758,0.6982,0.7689,0.7756,0.2388,"Justin Salamon, Emilia Gómez",MIREX05,2011
TY4,0.6958,0.8110,0.8139,1.0,0.9959,Tzu-Chun Yeh,INDIAN08,2011
TOS1,0.7154,0.8772,0.9112,0.7848,0.2011,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",INDIAN08,2011
TY3,0.6958,0.8110,0.8150,1.0,0.9959,Tzu-Chun Yeh,INDIAN08,2011
LYRS1,0.7174,0.8386,0.8555,0.9877,0.9880,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su",INDIAN08,2011
HCCPH1,0.6357,0.6764,0.7320,0.7869,0.3425,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo",INDIAN08,2011
CWJ1,0.6888,0.7175,0.7467,0.8960,0.4481,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",INDIAN08,2011
YSLP1,0.7300,0.7642,0.7673,0.9193,0.4615,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park",INDIAN08,2011
SG1,0.8278,0.8755,0.8802,0.8926,0.1786,"Justin Salamon, Emilia Gómez",INDIAN08,2011
PJY1,0.7095,0.8763,0.8870,0.7881,0.2514,"Sanghun Park, Seokhwan Jo, Chang D. Yoo",INDIAN08,2011
SG2,0.8444,0.8885,0.8913,0.9055,0.1743,"Justin Salamon, Emilia Gómez",INDIAN08,2011
TY4,0.5220,0.8042,0.8290,0.9998,0.9922,Tzu-Chun Yeh,MIREX09 (0dB),2011
TOS1,0.7420,0.8438,0.8741,0.8825,0.2834,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (0dB),2011
TY3,0.5224,0.8047,0.8288,0.9998,0.9922,Tzu-Chun Yeh,MIREX09 (0dB),2011
LYRS1,0.4671,0.7155,0.7380,0.9957,0.9859,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su",MIREX09 (0dB),2011
HCCPH1,0.4969,0.4087,0.4687,0.5809,0.2775,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo",MIREX09 (0dB),2011
CWJ1,0.5251,0.6035,0.6610,0.9109,0.6196,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX09 (0dB),2011
YSLP1,0.5213,0.6023,0.6315,0.9199,0.6319,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park",MIREX09 (0dB),2011
SG1,0.7807,0.8471,0.8637,0.9027,0.2717,"Justin Salamon, Emilia Gómez",MIREX09 (0dB),2011
PJY1,0.7390,0.7792,0.8010,0.8917,0.2614,"Sanghun Park, Seokhwan Jo, Chang D. Yoo",MIREX09 (0dB),2011
SG2,0.7807,0.8451,0.8614,0.9057,0.2710,"Justin Salamon, Emilia Gómez",MIREX09 (0dB),2011
TY4,0.4115,0.6370,0.6838,0.9998,0.9922,Tzu-Chun Yeh,MIREX09 (-5dB),2011
TOS1,0.6228,0.7531,0.7896,0.8335,0.4059,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (-5dB),2011
TY3,0.4140,0.6411,0.6857,0.9998,0.9922,Tzu-Chun Yeh,MIREX09 (-5dB),2011
LYRS1,0.3570,0.5489,0.5879,0.9953,0.9883,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su",MIREX09 (-5dB),2011
HCCPH1,0.3923,0.2398,0.3024,0.4441,0.2798,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo",MIREX09 (-5dB),2011
CWJ1,0.4034,0.4433,0.5215,0.8886,0.6764,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX09 (-5dB),2011
YSLP1,0.3855,0.4759,0.5192,0.9363,0.7807,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park",MIREX09 (-5dB),2011
SG1,0.6081,0.6539,0.7039,0.8127,0.3764,"Justin Salamon, Emilia Gómez",MIREX09 (-5dB),2011
PJY1,0.5362,0.6079,0.6569,0.8869,0.5140,"Sanghun Park, Seokhwan Jo, Chang D. Yoo",MIREX09 (-5dB),2011
SG2,0.6107,0.6541,0.7028,0.8220,0.3805,"Justin Salamon, Emilia Gómez",MIREX09 (-5dB),2011
TY4,0.5611,0.8647,0.8865,0.9998,0.9922,Tzu-Chun Yeh,MIREX09 (+5dB),2011
TOS1,0.8174,0.8746,0.9051,0.9081,0.1593,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (+5dB),2011
TY3,0.5615,0.8654,0.8861,0.9998,0.9922,Tzu-Chun Yeh,MIREX09 (+5dB),2011
LYRS1,0.5402,0.8257,0.8351,0.9962,0.9820,"Wei-Hsiang Liao, Chunghsin YEH, Axel Roebel, Wen Yu Su",MIREX09 (+5dB),2011
HCCPH1,0.5936,0.5619,0.6112,0.6951,0.2748,"Stacy Hsueh, Bob Coover, Ching-Wei Chen, Phillip Popp, Jinyu Han, Brian Pardo",MIREX09 (+5dB),2011
CWJ1,0.6192,0.7107,0.7508,0.9173,0.5390,"Yu-Ren Chien, Hsin-Min Wang, Shyh-Kang Jeng",MIREX09 (+5dB),2011
YSLP1,0.6577,0.6956,0.7127,0.8908,0.4186,"Jea-Yul Yoon, Chai-Jong Song, Seok-Pil Lee, Hochong Park",MIREX09 (+5dB),2011
SG1,0.8508,0.9139,0.9227,0.9462,0.2084,"Justin Salamon, Emilia Gómez",MIREX09 (+5dB),2011
PJY1,0.8272,0.8555,0.8662,0.8899,0.1299,"Sanghun Park, Seokhwan Jo, Chang D. Yoo",MIREX09 (+5dB),2011
SG2,0.8516,0.9132,0.9198,0.9474,0.2037,"Justin Salamon, Emilia Gómez",MIREX09 (+5dB),2011
HJ1,0.6133,0.7683,0.7976,0.7343,0.2099,"Chao-Ling Hsu, Jyh-Shing Roger Jang",ADC2004,2010
TOOS1,0.5368,0.6285,0.7338,0.7958,0.3277,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",ADC2004,2010
JJY2,0.7194,0.7964,0.8527,0.9365,0.5011,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",ADC2004,2010
JJY1,0.6964,0.7687,0.8379,0.9365,0.5015,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",ADC2004,2010
SG1,0.6993,0.7522,0.7822,0.8055,0.2318,"Justin Salamon, Emilia Gómez",ADC2004,2010
HJ1,0.5389,0.7170,0.7493,0.7080,0.4490,"Chao-Ling Hsu, Jyh-Shing Roger Jang",MIREX05,2010
TOOS1,0.6084,0.6887,0.7462,0.8465,0.4193,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX05,2010
JJY2,0.6081,0.7017,0.7832,0.9686,0.6962,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX05,2010
JJY1,0.6154,0.7158,0.7861,0.9733,0.7016,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX05,2010
SG1,0.6213,0.6180,0.7370,0.7639,0.2278,"Justin Salamon, Emilia Gómez",MIREX05,2010
HJ1,0.7676,0.8600,0.8676,0.8981,0.2282,"Chao-Ling Hsu, Jyh-Shing Roger Jang",INDIAN08,2010
TOOS1,0.7204,0.8240,0.8623,0.8546,0.2308,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",INDIAN08,2010
JJY2,0.7963,0.8855,0.9035,0.9505,0.4464,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",INDIAN08,2010
JJY1,0.7954,0.8845,0.9001,0.9505,0.4464,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",INDIAN08,2010
SG1,0.7770,0.8566,0.8694,0.8616,0.2316,"Justin Salamon, Emilia Gómez",INDIAN08,2010
HJ1,0.7617,0.8315,0.8423,0.8206,0.1427,"Chao-Ling Hsu, Jyh-Shing Roger Jang",MIREX09 (0dB),2010
TOOS1,0.7223,0.8259,0.8618,0.9417,0.3858,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (0dB),2010
JJY2,0.6255,0.8129,0.8383,0.9833,0.7062,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (0dB),2010
JJY1,0.6290,0.8220,0.8457,0.9834,0.7065,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (0dB),2010
SG1,0.7359,0.8005,0.8550,0.8965,0.3022,"Justin Salamon, Emilia Gómez",MIREX09 (0dB),2010
HJ1,0.6293,0.7254,0.7424,0.6422,0.1317,"Chao-Ling Hsu, Jyh-Shing Roger Jang",MIREX09 (-5dB),2010
TOOS1,0.6349,0.7549,0.7921,0.9127,0.4743,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (-5dB),2010
JJY2,0.4667,0.6465,0.6951,0.9879,0.8539,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (-5dB),2010
JJY1,0.4728,0.6611,0.7035,0.9883,0.8546,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (-5dB),2010
SG1,0.5813,0.6194,0.6985,0.8226,0.3900,"Justin Salamon, Emilia Gómez",MIREX09 (-5dB),2010
HJ1,0.8342,0.8849,0.8916,0.9127,0.1511,"Chao-Ling Hsu, Jyh-Shing Roger Jang",MIREX09 (+5dB),2010
TOOS1,0.7857,0.8541,0.8913,0.9542,0.2730,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX09 (+5dB),2010
JJY2,0.7910,0.8888,0.9003,0.9645,0.3473,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (+5dB),2010
JJY1,0.7939,0.8959,0.9067,0.9646,0.3476,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX09 (+5dB),2010
SG1,0.8135,0.8774,0.9121,0.9267,0.2274,"Justin Salamon, Emilia Gómez",MIREX09 (+5dB),2010
cl1,0.7659,0.8507,0.8635,0.9563,0.6928,"Chuan Cao, Ming Li",ADC2004,2009
cl2,0.7540,0.8507,0.8635,0.8643,0.4616,"Chuan Cao, Ming Li",ADC2004,2009
dr1,0.7569,0.8140,0.8344,0.9034,0.4120,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",ADC2004,2009
dr2,0.7469,0.8118,0.8360,0.8418,0.2664,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",ADC2004,2009
hjc1,0.4740,0.6386,0.7361,0.4573,0.1726,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",ADC2004,2009
hjc2,0.4460,0.5049,0.6488,0.4573,0.1726,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",ADC2004,2009
jjy,0.7511,0.8326,0.8699,0.8676,0.3585,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",ADC2004,2009
kd,0.8630,0.8711,0.8762,0.9163,0.1578,Karin Dressler,ADC2004,2009
mw,0.7082,0.8225,0.8640,0.9994,0.9383,Morten Wendelboe,ADC2004,2009
pc,0.8250,0.8286,0.8340,0.8464,0.1550,Pablo Cancela,ADC2004,2009
rr,0.7074,0.7688,0.8509,0.9200,0.4795,"Vishweshwara Rao, Preeti Rao",ADC2004,2009
toos,0.5249,0.6103,0.7178,0.9991,0.9318,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",ADC2004,2009
cl1,0.6100,0.7005,0.7351,0.9227,0.7392,"Chuan Cao, Ming Li",MIREX05,2009
cl2,0.6260,0.7005,0.7351,0.8002,0.5355,"Chuan Cao, Ming Li",MIREX05,2009
dr1,0.6580,0.7271,0.7650,0.9189,0.5638,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX05,2009
dr2,0.6524,0.7042,0.7596,0.8589,0.4450,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",MIREX05,2009
hjc1,0.4106,0.5914,0.7083,0.4792,0.2738,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX05,2009
hjc2,0.3870,0.4396,0.6192,0.4792,0.2738,"Chao-Ling Hsu, Jyh-Shing Roger Jang, Liang-Yu Chen",MIREX05,2009
jjy,0.5988,0.6955,0.7649,0.8684,0.5179,"Sihyun Joo, Seokhwan Jo, Chang D. Yoo",MIREX05,2009
kd,0.7484,0.7644,0.8086,0.8717,0.3265,Karin Dressler,MIREX05,2009
mw,0.5819,0.7501,0.8065,0.9992,0.9985,Morten Wendelboe,MIREX05,2009
pc,0.6651,0.6797,0.7037,0.7825,0.3102,Pablo Cancela,MIREX05,2009
rr,0.6071,0.6905,0.7642,0.9379,0.6431,"Vishweshwara Rao, Preeti Rao",MIREX05,2009
toos,0.5159,0.6749,0.7403,0.9989,0.9971,"Hideyuki Tachibana, Takuma Ono, Nobutaka Ono, Shigeki Sagayama",MIREX05,2009
cl1,0.4534,0.5081,0.5133,0.9339,0.9054,"Chuan Cao, Ming Li",INDIAN08,2009
cl2,0.4681,0.5081,0.5133,0.8442,0.6615,"Chuan Cao, Ming Li",INDIAN08,2009
dr1,0.8118,0.8801,0.8817,0.9700,0.5109,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",INDIAN08,2009
dr2,0.8003,0.8658,0.8681,0.9419,0.3930,"Jean-Louis Durrieu, Gaël Richard, Bertrand David",INDIAN08,2009
